page,category_index,category_name,region_poly,position,content,0
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 470, 1057, 471, 1057, 486, 582, 485]","['lengthened, but less so than in some other glossophagines (Hoff-']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 491, 1058, 490, 1058, 506, 582, 506]","['meister, 1957).Leptonycteris is characterized by elongated molars']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 509, 1058, 508, 1058, 524, 582, 524]","['with a faint W shaped pattern (Hall, 1981). The dental formula is']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 526, 1058, 527, 1058, 543, 581, 542]","['i 2/2, c 1/1, p 2/3,m 2/2, total 30 (Davis, 1974). External']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 545, 1058, 547, 1058, 562, 582, 560]",['characters of the big long-nosed bat include a reduced (4 mm or'],
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 564, 1058, 566, 1058, 581, 582, 579]","['shorter), moderately hairy uropatagium with a hairy 3 to 4 mm']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 583, 1058, 583, 1058, 599, 582, 599]","['fringe (Davis and Carter, 1962); a triangular erect noseleaf (Barbour']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[581, 602, 1058, 602, 1058, 618, 581, 618]","['and Davis, 1969); a very long extensile tongue tipped with long']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[581, 620, 1058, 622, 1058, 637, 581, 635]","['hairlike papillae (Greenbaum and Phillips, 1974); and short ears']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[581, 639, 1058, 639, 1058, 655, 581, 654]","['(Davis, 1974). Although external observation suggests that L. nivalis']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[581, 658, 1058, 658, 1058, 673, 581, 673]","['lacks a tail, a very short concealed tail consisting of three vertebrae']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 677, 800, 677, 800, 692, 582, 692]","['is present (Hoffmeister, 1957)']",
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[119, 446, 553, 447, 553, 463, 119, 463]","['CONTEXT AND CONTENT. Order Chiroptera, Family']",
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[82, 466, 556, 467, 556, 483, 82, 482]","['Phyllostomidae, Subfamily Glossophaginae. The genus Leptonycteris']",
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[81, 486, 556, 488, 556, 503, 81, 501]","['contains three species: L. nivalis, L. yerbabuenae (=L. sanborni),']",
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[82, 506, 556, 505, 556, 520, 82, 521]","['and L. curasoue (Hall, 1981; Honacki et al., 1982). The following']",
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[81, 524, 556, 522, 556, 537, 81, 539]",['key to species was developed from diagnostic features reported by'],
1,2,plain text,"[83, 448, 558, 448, 558, 559, 83, 559]","[82, 542, 439, 540, 439, 555, 82, 557]",['Davis and Carter (1962) and Hoffmeister (1957):'],
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[617, 769, 1057, 770, 1057, 785, 617, 784]",['Means for three external measurements (in mm) are: total'],
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 789, 1057, 789, 1057, 804, 582, 804]","['length, 83; length of foot, 17; and length of ear from notch, 15']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[774, 798, 774, 818, 756, 818, 756, 798]",[''],
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 808, 1058, 808, 1058, 823, 581, 823]","['(Davis, 1974). Means and extremes of cranial measurements (in']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 829, 1057, 826, 1057, 841, 582, 844]",['mm) for three adult males followed in parentheses by those for seven'],
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 845, 1057, 844, 1057, 860, 582, 861]","['adult females from Texas and Mexico are (Davis and Carter, 1962):']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 864, 1057, 863, 1057, 879, 582, 880]","['condylobasal length, 27.1, 26.5 to 28.0 (27.2、26.2 to 28.3);']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 883, 1057, 883, 1057, 898, 582, 899]","['zygomatic breadth, 11.4, 10.7 to 12.0 (11.3, 10.9 to 11.6); inter-']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 902, 1056, 901, 1056, 916, 582, 917]","['orbital width, 5.3, 5.3 to 5.4 (5.1, 4.3 to 5.4); mastoidal breadth,']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 919, 1057, 919, 1057, 935, 582, 935]","['12.0, 11.5 to 12.5 (11.8, 11.5 to 12.0); length of palate from']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 938, 1057, 938, 1057, 953, 582, 954]","['alveolus, 14.5, 14.0 to 15.0 (14.5, 13.3 to 15.3k; maxillary tooth.']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 957, 1057, 957, 1057, 973, 582, 973]","['row, 9.2, 8.9 to 9.6 (9.2, 8.5 to 9.5); length of mandible 19.2,']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[583, 976, 1057, 975, 1057, 990, 583, 991]","['18.5 to 19.7 (19.1, 18.2 to 20.3). Means for two other cranial']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 994, 1057, 995, 1057, 1010, 582, 1010]",['measurements (in mm) for six males and eight females from Chisos'],
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 1014, 1057, 1013, 1057, 1029, 582, 1029]","['Mountains, Brewster Co., Texas, are (Hoffmeister, 1957): greatest']",
1,2,plain text,"[583, 769, 1059, 769, 1059, 1050, 583, 1050]","[582, 1033, 1056, 1032, 1056, 1047, 582, 1048]","['length of skull, 28.l, and width of braincase, 10.7. Mandibular']",
1,2,plain text,"[585, 309, 1060, 309, 1060, 399, 585, 399]","[582, 308, 1058, 307, 1058, 323, 582, 324]","['body (Hoffmeister, 1957), and has pelage that is less red and more']",
1,2,plain text,"[585, 309, 1060, 309, 1060, 399, 585, 399]","[582, 327, 1058, 327, 1058, 342, 582, 342]","['drab than L. yerbabuenae (Hoffmeister, 1957). Compared to L.']",
1,2,plain text,"[585, 309, 1060, 309, 1060, 399, 585, 399]","[582, 347, 1057, 345, 1057, 361, 582, 363]","['curasoae, L. nivalis has a lighter pelage and the interfemoral mem']",
1,2,plain text,"[585, 309, 1060, 309, 1060, 399, 585, 399]","[581, 364, 1058, 364, 1058, 379, 581, 379]","['brane is broader and more hairy (Miller, 1900). The upper incisors']",
1,2,plain text,"[585, 309, 1060, 309, 1060, 399, 585, 399]","[581, 384, 767, 383, 767, 398, 581, 398]",['are not as equally spaced.'],
1,2,plain text,"[81, 1046, 557, 1046, 557, 1090, 81, 1090]","[81, 1047, 557, 1048, 557, 1065, 81, 1064]","['Ischnoglossa nivalis Saussure, 1860:491. Type locality “near snow']",
1,2,plain text,"[81, 1046, 557, 1046, 557, 1090, 81, 1090]","[116, 1067, 339, 1067, 339, 1082, 116, 1082]","[""line of Mt. Orizaba, Veracruz.'""]",
1,2,plain text,"[88, 397, 553, 397, 553, 437, 88, 437]","[82, 397, 556, 396, 556, 413, 82, 414]","['Leptonycteris Lydekker, 1891:674, in Flower and Lydekker (1891).']",
1,2,plain text,"[88, 397, 553, 397, 553, 437, 88, 437]","[120, 418, 484, 416, 484, 431, 120, 433]","['Type species Ischnoglossa nivalis Saussure, 1860.']",
1,2,plain text,"[86, 342, 555, 342, 555, 396, 86, 396]","[82, 341, 556, 342, 556, 358, 82, 357]",['Isehnoglossa Saussure. 1860:491. Type species Ischnoglossa ni'],
1,2,plain text,"[86, 342, 555, 342, 555, 396, 86, 396]","[558, 350, 558, 369, 540, 369, 540, 350]",['“'],
1,2,plain text,"[86, 342, 555, 342, 555, 396, 86, 396]","[120, 360, 557, 361, 557, 376, 120, 376]","['valis Saussure (preoccupied by Ischnoglossa Kraatz, 1856, a']",
1,2,plain text,"[86, 342, 555, 342, 555, 396, 86, 396]","[121, 379, 170, 379, 170, 394, 121, 393]",['beetle).'],
1,2,plain text,"[84, 1152, 557, 1152, 557, 1193, 84, 1193]","[121, 1154, 557, 1153, 557, 1169, 121, 1170]",['CONTEXT AND CONTENT. Context noted in generic'],
1,2,plain text,"[84, 1152, 557, 1152, 557, 1193, 84, 1193]","[81, 1173, 446, 1173, 446, 1188, 81, 1189]",['summary. Subspecies are not currently recognized.'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[122, 1204, 557, 1204, 557, 1219, 122, 1219]",['DIAGNOSIS. Leptonycteris species resemble those of the'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[83, 1224, 556, 1225, 556, 1240, 83, 1239]","['genus Lichonycteris in that both lack third molars, but Leptonycteris']",
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[82, 1243, 556, 1241, 556, 1257, 82, 1259]",['normally has lower incisors while Lichonycteris has none (Hall.'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[83, 1262, 556, 1260, 556, 1276, 83, 1278]",['1981). A specimen of Leptonycteris nivalis that has lost its lower'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[82, 1281, 557, 1279, 557, 1295, 82, 1296]",['incisors can be distinguished from Lichonycteris by the spacing of'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[80, 1298, 554, 1300, 554, 1315, 80, 1313]",['the upper incisors between the canines: upper incisors of Lichonye'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[82, 1318, 556, 1317, 556, 1333, 82, 1333]",['teris are evenly and widely spaced while those of Leptonycteris'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[463, 1324, 462, 1344, 445, 1344, 445, 1324]",[''],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[83, 1336, 556, 1335, 556, 1350, 83, 1352]",['form an almost continuous line with the only notable space (if present)'],
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[82, 1355, 556, 1354, 556, 1369, 82, 1370]","['being at the midline (Hall, 1981). Choeronycteris mexicana can be']",
1,2,plain text,"[85, 1211, 560, 1211, 560, 1385, 85, 1385]","[82, 1372, 555, 1372, 555, 1388, 82, 1388]","['distinguished by its protruding, short tail (Barbour and Davis, 1969)']",
1,2,plain text,"[88, 1106, 555, 1106, 555, 1140, 88, 1140]","[79, 1105, 555, 1103, 555, 1119, 79, 1121]","['Leptonycteris nivalis longala Stains, 1957:355. Type from “12']",
1,2,plain text,"[88, 1106, 555, 1106, 555, 1140, 88, 1140]","[121, 1123, 461, 1123, 461, 1138, 121, 1139]","['mi. S and 2 mi. E Arteaga, 7500 ft., Coahuila.']",
1,2,plain text,"[582, 697, 1060, 697, 1060, 769, 582, 769]","[617, 694, 1057, 695, 1057, 710, 617, 710]",['Leptonycteris nivalis has a sooty or drab brown color (Barbour'],
1,2,plain text,"[582, 697, 1060, 697, 1060, 769, 582, 769]","[582, 715, 1058, 714, 1058, 729, 582, 730]","['and Davis, 1969) and is darker on the posterior dorsum and paler']",
1,2,plain text,"[582, 697, 1060, 697, 1060, 769, 582, 769]","[582, 734, 1058, 733, 1058, 748, 582, 749]","['ventrally and on the anterior dorsum (Hall, 1981). Hairs are white']",
1,2,plain text,"[582, 697, 1060, 697, 1060, 769, 582, 769]","[581, 751, 931, 750, 931, 766, 581, 766]","['at the base and silvery at the tips (Davis, 1974).']",
1,2,plain text,"[587, 1485, 1060, 1485, 1060, 1560, 587, 1560]","[622, 1484, 1058, 1485, 1058, 1501, 622, 1501]",['Ftc. l. Side view of facial region of Leptonycteris nivalis'],
1,2,plain text,"[587, 1485, 1060, 1485, 1060, 1560, 587, 1560]","[582, 1506, 1058, 1505, 1058, 1520, 582, 1521]","['showing long protrusile tongue and bat fly ventral to eye. Specimen,']",
1,2,plain text,"[587, 1485, 1060, 1485, 1060, 1560, 587, 1560]","[583, 1524, 1056, 1521, 1057, 1537, 583, 1539]","['from Big Bend National Park, Texas, photogrepbed in 1967 bv D']",
1,2,plain text,"[587, 1485, 1060, 1485, 1060, 1560, 587, 1560]","[582, 1541, 665, 1541, 665, 1556, 582, 1557]",['A. Easterla.'],
1,2,plain text,"[89, 246, 753, 246, 753, 268, 89, 268]","[82, 242, 757, 243, 757, 268, 82, 267]",['Published 30 June 1988 by The American Society of Mammalogists'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[83, 568, 94, 568, 94, 582, 82, 582]",['l'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[127, 568, 524, 568, 524, 585, 126, 584]",['Three phalanges of third finger longer than third meta.'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[141, 589, 523, 589, 523, 604, 141, 604]","['carpal; length of forearm usually 55 mm or greater,']",
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[140, 607, 523, 607, 523, 622, 140, 622]",['averaging 57 mm; fur long and lax; uropatagium mod'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[140, 625, 524, 624, 524, 640, 140, 640]",['erately hairy with a conspicuous fringe of hairs 3 to 4'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[141, 644, 204, 644, 204, 658, 141, 658]",['mm long'],
1,2,plain text,"[82, 564, 543, 564, 543, 652, 82, 652]","[487, 644, 552, 644, 552, 659, 487, 660]",['. nivalis'],
1,2,plain text,"[147, 305, 488, 305, 488, 331, 147, 331]","[147, 304, 487, 304, 487, 329, 147, 329]","['Leptonycteris (Lydekker, 1891)']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[120, 1392, 557, 1391, 557, 1407, 120, 1408]","['Compared to L. yerbabuenae, L. nivalis has longer (7 to 8']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1411, 556, 1411, 556, 1426, 82, 1426]","['mm on dorsum) fluffier pelage (Davis and Carter, 1962), is larger']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1431, 556, 1429, 556, 1444, 82, 1446]","['in several cranial and external measurements (Davis and Carter,']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[86, 1448, 558, 1448, 558, 1463, 86, 1463]","['1962), has a shorter presphenoid ridge and has deeper, and more']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1468, 556, 1467, 556, 1482, 82, 1483]","['pronounced basisphenoidal pits (Watkins et al., 1972). L. nivalis']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1486, 556, 1486, 556, 1501, 82, 1502]","['has a longer (>105 mm) third finger, with the sum of the lengths']",
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1506, 556, 1503, 556, 1518, 83, 1521]",['of the three phalanges of the third finger averaging greater than the'],
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1523, 556, 1522, 556, 1537, 82, 1539]",['length of the third metacarpal (Barbour and Davis. 1969: Hoff'],
1,2,plain text,"[85, 1394, 560, 1394, 560, 1559, 85, 1559]","[82, 1543, 556, 1542, 556, 1557, 82, 1559]","['meister, 1957). L. nivalis has a longer (10% or more) head and']",
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[141, 644, 204, 644, 204, 658, 141, 658]",['mm long'],
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[487, 644, 552, 644, 552, 659, 487, 660]",['. nivalis'],
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[122, 664, 524, 661, 524, 675, 122, 678]",['Three phalanges of third finger of equal or lesser length'],
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[140, 681, 524, 680, 524, 695, 140, 696]",['than third metacarpal; length of forearm usually 55'],
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[140, 700, 524, 699, 524, 714, 140, 715]","['mm or less, averaging about 54 mm; fur short and']",
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[140, 719, 523, 719, 523, 734, 140, 734]",['dense; uropatagium sparsely haired to naked with fringe'],
1,2,plain text,"[112, 642, 547, 642, 547, 754, 112, 754]","[141, 737, 373, 737, 373, 752, 141, 752]",['of hairs inconspicuous to absent'],
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[82, 756, 527, 755, 527, 770, 82, 771]",['2(1) Length of upper toothrow (from canine to last molar)'],
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[140, 776, 523, 775, 523, 790, 140, 791]","['greater than or equal to 9 mm, upper and lower teeth,']",
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[141, 795, 523, 793, 523, 809, 141, 810]","['especially incisors and premolars, larger and evenly']",
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[140, 813, 524, 811, 524, 826, 140, 828]",['spaced; uropatagium sparsely haired and with a slight'],
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[140, 830, 185, 831, 185, 846, 140, 845]",['fringe'],
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[474, 832, 559, 832, 559, 846, 474, 846]",['L. curasoae'],
1,2,plain text,"[84, 756, 557, 756, 557, 865, 84, 865]","[122, 851, 523, 849, 523, 864, 122, 866]",['Length of upper toothrow (from canine to last molar)'],
1,2,plain text,"[91, 200, 931, 200, 931, 230, 91, 230]","[87, 190, 436, 189, 436, 222, 87, 223]",['Leptonycteris nivalis.'],
1,2,plain text,"[91, 200, 931, 200, 931, 230, 91, 230]","[485, 200, 936, 203, 935, 226, 485, 223]",['By Adele Ptrimmer Hensley and Kenneth T. Wilkins'],
1,6,footer,"[396, 1629, 739, 1629, 739, 1654, 396, 1654]","[393, 1632, 745, 1632, 745, 1648, 393, 1647]","['148.202.168. 13 on Sun, 01 May 202211:11:53 UTC']",
1,6,footer,"[445, 1618, 691, 1618, 691, 1631, 445, 1631]","[460, 1615, 672, 1615, 672, 1630, 460, 1630]",['This content downloaded from'],
1,6,footer,"[395, 1652, 742, 1652, 742, 1668, 395, 1668]","[413, 1650, 719, 1651, 719, 1666, 413, 1665]",['All use subject to https://about.jstor.org/terms'],
2,1,figure,"[583, 107, 1057, 107, 1057, 518, 583, 518]","[617, 507, 1058, 507, 1058, 523, 617, 523]",['FIG. 3. Distribution of Leptonycteris nivalis modified from'],
2,1,figure,"[84, 384, 546, 384, 546, 581, 84, 581]","[500, 421, 527, 422, 526, 446, 499, 445]",['7'],
2,1,figure,"[90, 647, 554, 647, 554, 879, 90, 879]","[120, 849, 151, 849, 151, 862, 120, 862]",['5mm'],
2,1,figure,"[81, 126, 546, 126, 546, 315, 81, 314]",,,
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[121, 1063, 557, 1062, 557, 1077, 121, 1078]",['Means and extremes (in mm) for postcranial measurements'],
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1081, 561, 1083, 560, 1097, 82, 1096]",['from three adult males followed in parentheses by those for seven'],
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1101, 561, 1100, 561, 1115, 82, 1116]","['adult females, respectively, from Texas and Mexico (Davis and']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[81, 1120, 556, 1117, 556, 1133, 81, 1136]","['Carter, 1962) are: length of forearm, 57.2,55.4 to 59.5 (56.6.']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1137, 556, 1136, 556, 1151, 82, 1152]","['54.5 to 58.2); length of third metacarpal, 50.1,49.0 to 51.7 (50.3.']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1161, 557, 1160, 557, 1178, 82, 1178]","['49.0 to 51.5) length of third fnger, 110.4,107.1 to 115.3(116.0.']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1174, 556, 1174, 556, 1189, 82, 1189]","['108.4 to 112.3): length of terminal phalanx of third finger, 17.6.']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1194, 556, 1193, 556, 1208, 82, 1210]","['16.2 to 18.7 (17.9, 17.0 to 18.3). De la Torre (1955) observed a']",
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1214, 561, 1212, 561, 1227, 82, 1229]",['size cline in L. nivalis such that individuals fron the northern portion'],
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[81, 1232, 556, 1231, 556, 1245, 81, 1247]",['of the range of the species are larger than those from the south'],
2,2,plain text,"[84, 1064, 560, 1064, 560, 1269, 84, 1269]","[82, 1250, 386, 1248, 386, 1264, 82, 1266]","['Average body mass is 24 g (Davis, 1974)']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[122, 1280, 564, 1279, 564, 1295, 122, 1297]",['DISTRIBUTION. Leptonycteris nivalis is known from'],
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[82, 1302, 562, 1299, 562, 1314, 82, 1317]",['southern Trans-Pecos Texas southward through central and eastern'],
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[83, 1318, 562, 1318, 562, 1333, 83, 1333]","['Mexico, mostly east of the 102° meridian and south at least to']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[82, 1338, 564, 1337, 564, 1352, 82, 1353]","['Guerrero and Guatemala (Hoffmeister, 1957; Fig. 3). Specimens in']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[87, 1358, 563, 1355, 563, 1370, 87, 1373]","['the United States have been collected from the Chisos Mountains,']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[86, 1375, 564, 1374, 564, 1390, 86, 1391]","['Big Bend National Park, Brewster Co., Texas (Borell and Bryant,']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[87, 1393, 563, 1393, 563, 1408, 87, 1409]","['1942); and Chinati Mountains, Presidio Co., Texas (Mollhagen,']",
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[85, 1412, 566, 1411, 566, 1426, 85, 1428]",['1973). Although Jones and Findley (1963) reported L. nivalis from'],
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[85, 1429, 566, 1428, 566, 1444, 85, 1445]",['the Peloncillo Mountains and Guadalupe Canyon of Hidalgo Co..'],
2,2,plain text,"[85, 1282, 563, 1282, 563, 1560, 85, 1560]","[86, 1451, 563, 1449, 563, 1465, 86, 1467]",['New Mexico. Findley et al. (1975) did not list this species as occurring'],
